PREMIUM_AMOUNT,CLAIM_AMOUNT,AGE,TENURE,DAYS_TO_REPORT,INSURANCE_TYPE_Health,INSURANCE_TYPE_Life,INSURANCE_TYPE_Mobile,INSURANCE_TYPE_Motor,INSURANCE_TYPE_Property,INSURANCE_TYPE_Travel,INCIDENT_SEVERITY_Major Loss,INCIDENT_SEVERITY_Minor Loss,INCIDENT_SEVERITY_Total Loss,AUTHORITY_CONTACTED_Ambulance,AUTHORITY_CONTACTED_Other,AUTHORITY_CONTACTED_Police,HOUSE_TYPE_Mortgage,HOUSE_TYPE_Own,HOUSE_TYPE_Rent,SOCIAL_CLASS_HI,SOCIAL_CLASS_LI,SOCIAL_CLASS_MI,CUSTOMER_EDUCATION_LEVEL_Bachelor,CUSTOMER_EDUCATION_LEVEL_College,CUSTOMER_EDUCATION_LEVEL_High School,CUSTOMER_EDUCATION_LEVEL_MD,CUSTOMER_EDUCATION_LEVEL_Masters,CUSTOMER_EDUCATION_LEVEL_PhD,MARITAL_STATUS_N,ANY_INJURY,MARITAL_STATUS_Y,CLAIM_STATUS
1.420337259,-0.343242734,0.827864859,0.792065183,0.90918807,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,A
1.101171534,0.428208564,1.435701527,0.518417125,0.90918807,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,A
1.422614058,-0.161724781,0.220028191,0.153553047,0.90918807,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,A
1.746126399,-0.025586317,-0.735143717,-1.427524623,0.90918807,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,A
0.000443044,-0.615519662,0.56736343,-1.427524623,0.90918807,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,A
-0.030811187,2.107249625,-0.214140858,-0.758607147,0.90918807,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,A
2.250333732,-0.615519662,1.435701527,-1.305903263,0.90918807,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,A
-0.098080228,-0.388622222,-0.821977526,1.035307901,0.90918807,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,A
-0.131818239,-0.524760686,-1.516648004,1.673820037,0.90918807,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,A
-0.356393345,-0.570140174,1.435701527,1.704225377,0.90918807,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,A
