PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,Class
-16.63702868,-2.136797181,3.648450539,1.69438043,7.24008011,-4.380294914,-5.570620463,2.968284168,0.106893267,-0.658284362,5.222147802,1.228416017,-0.026156201,-0.43658283,1.495083277,1.157018895,-0.336250903,0.734638964,-1.038619929,-0.344788048,0.527605896,1.000812596,0.440991718,-0.694911509,0.210410782,0.164857662,-0.099966878,0.345422779,0.118928898,0.224189015,0,0,1
-17.48581146,-0.172118822,-0.348630294,-3.658354236,1.636684613,0.720322304,0.642862667,-0.619817418,1.166577668,-1.4412135,1.22881065,0.677709798,-2.421953951,0.584529822,2.390254447,2.186236226,-0.266287348,1.942192561,-1.853638486,0.253726339,-0.581024847,-0.990130266,1.265319779,0.259266195,0.360802089,0.7202781,-0.454648743,0.837443914,0.09913407,0.540375013,0,0,1
-10.26036185,1.018247798,2.444433279,-2.394129024,-0.853117907,0.721563998,-0.014029277,-0.665526416,1.348620702,0.315763587,0.518301645,0.02363543,-0.39598947,0.37977473,0.353741172,-0.370312989,-0.361047629,-0.166883996,-0.097875891,0.159018186,-0.873800924,0.091253294,0.005861665,0.074239372,0.256570245,0.161255181,0.658501814,-0.559081954,-0.251562506,0.474536687,0,0,1
-2.356380013,-0.027095712,-0.626669924,-0.252391725,-0.427650809,0.59219312,-0.339128908,-0.976115508,1.279239781,-0.284814328,-1.017894296,-2.252311546,0.639156826,-0.256233864,0.247135502,0.819089294,2.007281038,0.822757135,-0.148238289,0.517051738,-0.644146922,-0.815127092,-0.877102278,0.070516948,0.153269245,-0.123194305,-0.293766424,-0.399473642,0.143825911,0.047290046,0,0,1
-15.50148874,-0.714498524,3.542817874,0.421676407,3.846632441,-2.143210597,-3.334275881,2.029425626,-0.45103769,0.196346394,2.804373447,0.416936817,0.365689908,-0.394211817,1.323959693,1.101789829,-0.054608411,-0.084172137,-0.213253193,-0.014676095,-0.091043245,0.44383049,0.101474435,-0.478733972,-0.014205053,0.098918964,0.053675118,0.100489223,-0.153254958,0.082214376,0,0,1
1.207489828,2.733472178,2.336274025,0.74378999,-0.849818012,-0.543149465,-0.84089151,-0.19724721,-2.728038744,0.143209104,-0.62307302,1.28038576,-3.639940319,0.145437172,1.484854983,-1.259329691,0.641213709,0.383610449,-2.500256866,0.128550493,-0.791711266,-1.851941001,0.462138676,0.703708673,0.56191377,-0.141963807,-0.214424507,-0.116631549,-0.185898408,-0.62478321,0,0,1
-8.109976116,0.67000069,0.876063577,0.968109361,-1.140774102,-0.568819514,2.387065324,-1.143337141,-0.30214892,-0.215626854,-1.973628975,-0.216474831,0.014836077,-0.697978212,-0.777949811,-0.921268194,0.451270778,0.359798392,2.01744197,0.593767227,0.307549749,1.460673782,-0.709014739,0.754517977,-0.16256981,0.385197898,-0.999537292,-0.504530011,0.119298714,-0.096284325,0,0,1
-16.3958359,0.506691891,2.804492116,-1.052542618,-2.559442399,-0.284710057,2.48380446,2.553168108,0.731723229,1.246426929,-0.936710076,-1.229058622,0.76705336,1.210710216,0.683838437,-1.000141894,0.203691863,-1.919177855,0.592640888,0.990561546,0.723013715,0.101983763,-0.95515034,-0.33585783,-0.710919035,0.083423369,0.303574976,-1.358566252,-0.271954566,-0.049836369,0,0,1
-5.54699313,0.76638216,1.190196307,-2.198462227,-0.801049663,0.818099631,-2.165572876,-4.094579448,-0.367371634,-1.149141376,-1.122826293,1.632610709,0.653721016,1.278735899,-0.114052655,0.161283478,-1.038816995,0.029706267,-0.439691433,-0.440218362,-0.212988319,0.169939261,-0.106362307,0.65895979,1.074925011,-0.091964477,0.802973593,0.278880636,-0.019092089,-0.068278766,0,0,1
-3.315233494,0.27311653,1.451639076,-0.812315752,-0.359879917,0.552590817,-0.981570268,-0.702565951,0.066536619,-1.156834028,-1.872916109,-0.602967914,0.475057636,0.24132292,-0.525098801,1.02063592,0.909301688,0.892452218,1.084840426,-0.260787743,-0.835151839,-0.338832716,0.274184227,-0.261352829,-0.22332961,-0.466598798,-0.363234638,0.068452053,0.230011029,0.011946729,0,0,1
-5.28327171,0.822325441,1.081767342,-1.63542886,-2.340960441,0.614379232,2.13975836,0.774622672,0.819369831,-1.296701089,-1.0600421,1.177073324,1.136536357,-2.449132715,0.093372576,1.818567334,0.498722183,0.961432353,0.18355694,-0.879872291,-0.260876492,-0.392264281,0.124370698,-0.450354882,0.313565092,-0.122969255,-0.466059396,0.389486018,-0.2908062,0.04388496,0,0,1
-10.25691663,1.10172731,2.589238762,-1.880014656,-0.845022387,1.333117208,-0.01016042,-0.338584532,1.684203173,0.343832477,0.607443162,-0.177400697,-0.640425353,0.814077725,1.046650139,-0.236000465,-0.632453353,0.055036046,-0.057444792,-0.375003075,-0.849394015,-0.419890557,0.229362308,0.52753779,0.2192653,0.138416598,0.638665265,-0.547625129,-0.306236441,0.24370218,0,0,1
-16.71809437,-2.242356985,3.661189161,1.79070698,7.482670815,-4.539375638,-5.731190072,3.035244741,0.145908156,-0.720254629,5.393117502,1.288643223,-0.051456235,-0.441840531,1.506810232,1.155241935,-0.354023456,0.794856457,-1.103996019,-0.368212768,0.570960722,1.037435866,0.467120881,-0.711315168,0.226990526,0.171050072,-0.110401091,0.362704599,0.138210971,0.240087527,0,0,1
